  06 06 01    220   0   7   1   -1   1   -1   -1   4   2   1   8   2   -4   0   6   5   6   5   5   5   -2   -7   -5   -2   -1   1
  06 06 02    220   0   1   -2   -6   -3   -1   -3   0   -1   -4   -6   -4   1   1   -1   -1   -3   -4   -3   -1   -3   -5   -5   -5   -6   -3
  06 06 03    220   0   -8   -9   -6   -4   -4   -2   -2   -1   -2   -1   -1   1   -1   -5   -5   -4   -3   0   2   0   -2   -2   -2   -1   -3
  06 06 04    220   0   -2   0   2   2   2   1   1   1   3   3   3   4   5   4   3   4   3   5   8   8   9   9   9   8   4
  06 06 05    220   0   4   2   6   8   9   8   7   7   7   7   8   6   7   8   9  13  12  11  11  11  11  13  14  15   9
  06 06 06    220   0  14  11   5   5   9  17  17  10   0   -3   8   2   1   -6   -5  -10  -23  -35  -42  -40  -36  -34  -34  -30   -8
  06 06 07    220   0  -32  -31  -29  -28  -18  -18  -21  -23  -16  -18  -26  -22  -18  -23  -28  -26  -23  -21  -22  -20  -21  -21  -14  -15  -22
  06 06 08    220   0  -31  -33  -28  -24  -26  -29  -24  -25  -20  -16  -22  -21  -18  -20  -17  -17  -21  -19  -19  -25  -27  -28  -28  -28  -24
  06 06 09    220   0  -28  -26  -26  -25  -20  -18  -18  -15  -15  -15  -13  -13  -14  -18  -23  -21  -19  -18  -21  -18  -19  -21  -22  -21  -19
  06 06 10    220   0  -22  -20  -14  -13  -15  -15  -16  -14  -13  -13  -13   -8  -12  -13  -13  -14  -17  -20  -22  -26  -26  -24  -22  -18  -17
  06 06 11    220   0  -13  -10  -10   -9  -11  -13  -13   -9  -10   -9  -11  -10   -8   -7  -10  -10  -11  -13  -15  -15  -15  -17  -15  -13  -12
  06 06 12    220   0  -14  -15  -12   -9   -8   -9   -7   -5   -6   -8   -6   -5   -6  -10  -14  -12   -9  -10  -12  -14  -14  -15  -14  -10  -10
  06 06 13    220   0  -12  -13  -14  -14  -11   -8   -7   -6   -7   -6   -5   -4   -4   -4   -6   -4   -2   1   2   4   5   4   0   -4   -5
  06 06 14    220   0   -7   -7   -7   -5   -5   -4   -3   -2   2   2   4   0   -1   0   -1   -1   0   0   4   3   4   -1   -1   2   -1
  06 06 15    220   0   0   4   7   4   0   -6   -7   -4   -8  -14  -19  -19  -13  -11  -14  -19  -16  -19  -22  -22  -24  -25  -27  -30  -13
  06 06 16    220   0  -32  -31  -24  -22  -24  -22  -20  -17  -15  -15  -17  -19  -19  -20  -20  -23  -26  -26  -24  -21  -17  -13  -12   -9  -20
  06 06 17    220   0   -8   -9   -9   -7   -5  -12  -21  -17  -18  -14  -14  -17  -18  -16  -13  -14  -10  -14  -18  -20  -20  -22  -20  -18  -15
  06 06 18    220   0  -18  -17  -11  -10  -15  -15  -15  -15  -20  -21  -20  -14  -13  -14  -17  -18  -20  -20  -20  -18  -16  -13  -12  -10  -16
  06 06 19    220   0  -10  -14  -13  -10  -11  -11  -12  -11  -10  -10  -11  -10   -8   -7   -7   -9  -11  -12  -14  -18  -19  -14  -11   -8  -11
  06 06 20    220   0   -8   -6   -9   -9   -7   -7   -5   -2   -2   -4   -4   -5   -6   -8  -10  -11  -10   -9   -6   -5   -3   -4   -3   0   -6
  06 06 21    220   0   2   2   0   -1   -3   -2   0   1   1   0   1   1   3   3   2   2   1   -1   2   3   2   1   1   6   1
